Country , Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Cyprus,CYP,WE/EU,53,49,2.206436,8,49.38144,56.61856,,34.91155,,54.73361,,58.97113,44.64719,,47.74611,63.70001,,57.12974,60.7326
Georgia,GEO,ECA,53,49,3.99419,6,46.44953,59.55047,,,44.81405,,50.42263,34.50329,,,,69.48725,,63.79354,57.13948
Grenada,GRD,AME,53,49,3.736033,3,46.87291,59.12709,,,,,,46.73721,,,,,51.77465,,60.7326
Rwanda,RWA,SSA,53,49,2.18984,6,49.40866,56.59134,57.15519,,44.81405,,,58.97113,,,,53.57234,43.44326,,58.93604
Fiji,FJI,AP,52,53,4.154759,3,45.1862,58.8138,,,,,,58.97113,,,,53.57234,43.44326,,
Saudi Arabia,SAU,MENA,52,53,5.282126,6,43.33731,60.66269,,,32.8455,54.73361,,34.50329,78.6309,,58.54501,53.57234,,,
Malta,MLT,WE/EU,51,55,2.420942,7,47.02966,54.97034,,52.64929,,54.73361,,46.73721,,,41.12743,65.14682,,40.47024,58.03776
Mauritius,MUS,SSA,51,55,2.037093,6,47.65917,54.34083,,,44.81405,54.73361,,58.97113,,,,43.44466,,57.12974,49.05498
Croatia,HRV,WE/EU,50,57,1.245027,9,47.95816,52.04184,,43.78042,52.79308,54.73361,50.42263,46.73721,38.14149,,53.49392,60.08298,,,50.85153
Malaysia,MYS,AP,50,57,0.9731172,9,48.40409,51.59591,,,48.80357,54.73361,,58.97113,47.21523,41.20771,49.83622,50.67872,,46.95868,47.25842
Greece,GRC,WE/EU,49,59,2.209554,8,45.37633,52.62367,,61.51816,,37.26319,,58.97113,47.47203,,34.68293,55.74255,,47.3094,51.74981
Namibia,NAM,SSA,49,59,2.841784,6,44.33947,53.66053,,,32.8455,54.73361,,58.97113,,,49.83622,52.84893,,,46.36014
Vanuatu,VUT,AP,48,61,3.143494,3,42.84467,53.15533,,,,,,46.73721,,,,55.01915,43.44326,,
Armenia,ARM,ECA,47,62,2.543364,6,42.82888,51.17112,,,48.80357,,44.48782,46.73721,,,32.41864,55.01915,,53.79784,
Jordan,JOR,MENA,46,63,2.868004,7,41.29647,50.70353,,,32.8455,54.73361,,34.50329,62.10985,,41.12743,47.7851,,,50.85153
Kuwait,KWT,MENA,46,63,1.65889,8,43.27942,48.72058,,,44.81405,37.26319,,34.50329,49.35526,,46.87523,55.74255,,53.27176,46.36014
Montenegro,MNE,ECA,46,63,2.545276,5,41.82575,50.17425,,,56.7826,,44.48782,46.73721,,,,40.55105,,,39.17391
Romania,ROU,WE/EU,46,63,0.9114636,10,44.5052,47.4948,,43.78042,44.81405,37.26319,56.35744,46.73721,43.10637,,41.12743,52.84893,,42.22387,49.95325
Bulgaria,BGR,WE/EU,45,67,1.161256,10,43.09554,46.90446,,43.78042,48.80357,37.26319,53.39004,46.73721,35.65905,,49.83622,57.18936,,40.6456,37.37735
Sao Tome and Principe,STP,SSA,45,67,4.820227,4,37.09483,52.90517,31.56854,,,,,46.73721,,,,58.63617,43.44326,,
Jamaica,JAM,AME,44,69,3.061407,7,38.97929,49.02071,,,36.83502,37.26319,,34.50329,,,41.12743,66.59363,,38.01516,50.85153
Benin,BEN,SSA,43,70,3.131058,6,37.86507,48.13493,41.83385,,40.82453,,,34.50329,,,,62.2532,43.44326,,35.58079
Ghana,GHA,SSA,43,70,1.46851,9,40.59164,45.40836,49.49452,,40.82453,54.73361,,46.73721,,,49.83622,34.0404,43.44326,35.56007,33.78424
Oman,OMN,MENA,43,70,5.321681,5,34.27245,51.72755,,,20.87696,37.26319,,46.73721,,,47.74611,60.08298,,,
Senegal,SEN,SSA,43,70,1.346635,9,40.79152,45.20848,41.83385,,36.83502,54.73361,,46.73721,,,32.41864,49.95531,43.44326,37.13834,45.46186
Solomon Islands,SLB,AP,43,70,7.428528,3,30.81721,55.18279,,,,,,58.97113,,,,34.0404,35.11188,,
Timor-Leste,TLS,AP,43,70,5.186713,4,34.49379,51.50621,,,40.82453,,,34.50329,,,,60.08298,35.11188,,
Bahrain,BHR,MENA,42,76,5.329254,6,33.26003,50.73997,,,28.85599,37.26319,,34.50329,72.63881,,49.83622,27.52975,,,
China,CHN,AP,42,76,1.644832,8,39.30247,44.69753,,,40.82453,37.26319,,46.73721,53.46412,37.87077,32.41864,49.95531,,,38.27563
Cuba,CUB,AME,42,76,3.457847,5,36.32913,47.67087,,,36.83502,54.73361,,34.50329,,,49.83622,34.7638,,,
Hungary,HUN,WE/EU,42,76,1.301299,10,39.86587,44.13413,,26.04268,32.8455,54.73361,41.52041,46.73721,44.30478,,41.12743,39.82764,,50.29058,39.17391
Moldova,MDA,ECA,42,76,2.102524,7,38.55186,45.44814,,,40.82453,37.26319,35.5856,46.73721,,,41.12743,57.91277,,,36.47907
North Macedonia,MKD,ECA,42,76,2.876609,6,37.28236,46.71764,,,52.79308,37.26319,47.45523,46.73721,,,,26.80635,,,40.07219
Trinidad and Tobago,TTO,AME,42,76,4.874883,6,34.00519,49.99481,,,32.8455,37.26319,,34.50329,,,32.41864,73.10427,,,42.76702
Burkina Faso,BFA,SSA,41,83,1.782614,7,38.07652,43.92348,44.43848,,28.85599,,,46.73721,,,37.46974,47.06169,43.44326,,36.47907
Kosovo,KSV,ECA,41,83,2.362685,6,37.12519,44.87481,,,40.82453,,35.5856,34.50329,,,,55.01915,43.44326,,37.37735
South Africa,ZAF,SSA,41,83,2.084248,8,37.58183,44.41817,,,44.81405,54.73361,,46.73721,28.21174,,32.41864,47.06169,,32.40353,40.97047
Vietnam,VNM,AP,41,83,1.399817,8,38.7043,43.2957,,,36.83502,37.26319,,46.73721,,37.08561,36.77304,47.06169,,50.99203,35.58079
Colombia,COL,AME,40,87,1.423581,8,37.66533,42.33467,,,44.81405,37.26319,,46.73721,37.71348,,32.41864,49.23191,,33.9818,36.47907
Côte d'Ivoire,CIV,SSA,40,87,1.890965,9,36.89882,43.10118,44.43848,,28.85599,37.26319,,58.97113,,,41.12743,34.0404,43.44326,45.73113,26.598
Guyana,GUY,AME,40,87,2.313902,5,36.2052,43.7948,,,,,,34.50329,,,41.12743,49.95531,35.11188,,37.37735
